1,ricardo,0.14
2,ricardo,0.27
3,ricardo,0.40
4,ricardo,0.52
5,ricardo,0.63
6,ricardo,0.73
1,reddress,4.67
2,reddress,9.00
3,reddress,13.01
4,reddress,16.65
5,reddress,19.92
6,reddress,22.80
1,soldier,6.71
2,soldier,13.00
3,soldier,18.69
4,soldier,23.92
5,soldier,28.62
6,soldier,32.74
